states,x,y
Maharashtra,-134,-60
Uttar Pradesh,-20,84.0 
Kerala,-118,-254
Punjab,-123,180
Tamil Nadu,-78,-239
Bihar,68,64
Odisha,53,-42
Karnataka,-134,-170
Rajasthan,-173,89
Gujarat,-209,12
Jammu And Kashmir,-92,250
Madhya Pradesh,-84,19
Telangana,-65,-84
West Bengal,113,8
Andra Pradesh,-68,-150
Haryana,-100,140
Assam,197,84
Goa,-165,-148
 Himachal Pradesh,-85,196
Jharkhand,60,23
Uttarakhand,60,-159
Manipur,232,48
Arunachal Pradesh,232,129
Tripura,187,26
Mizoram,215,15
Chattisgarh,-21,-27
Sikkim,125,104
Nagaland,239,80
Meghalaya,163,61
Andaman And Nicobar Island,221,-230
Daman And Diu,-179,-44
Chandigarh,-93,169
Lakshadweep,-210,-227
Puducherry,-50,-223
Delhi,-89,125
Ladakh,-75,259
Dadar And Nagar Haveli,-174,-47
